"status","brand","model","type","length","diameter","amazonUrl","evidence","rejectReason"
"accepted","トンボ鉛筆","加圧式 油性ボールペン (湿った紙面/仰向けでも書ける) 空気の力でインクを押し出すエアプレス 0.7 イエロー BC-AP52","ボールペン","122","","https://www.amazon.co.jp/dp/B07GL738Y2","【全長】122mm 【重量】15g",""
"accepted","トンボ鉛筆","加圧式 油性ボールペン (湿った紙面/仰向けでも書ける) 空気の力でインクを押し出すエアプレス 0.7 オレンジ BC-AP54","ボールペン","122","","https://www.amazon.co.jp/dp/B002U0QZCU","【全長】122mm",""
"accepted","三菱鉛筆","ゲルボールペン ユニボールワンP 0.38 コーヒー UMNSP38.30","ボールペン","116.8","","https://www.amazon.co.jp/dp/B0BZHFSKXT","【サイズ】軸径13.9×厚さ19.2×全長116.8mm 【重量】13.7g",""
